time,.y.,n,statistic,df,p,method
0,val,84,0.7238986503692248,5,0.982,Kruskal-Wallis
30,val,84,17.455231515716328,5,0.00371,Kruskal-Wallis
60,val,84,58.11176234722936,5,2.98e-11,Kruskal-Wallis
90,val,84,54.98221306966243,5,1.32e-10,Kruskal-Wallis
120,val,84,46.58853737156285,5,6.89e-9,Kruskal-Wallis
