groups,.y.,n,statistic,df,p,method
1,val,70,0.8116125323368806,4,0.937,Kruskal-Wallis
2,val,70,1.8282714660667403,4,0.767,Kruskal-Wallis
3,val,70,2.8720104783234497,4,0.579,Kruskal-Wallis
4,val,70,4.771621540553523,4,0.312,Kruskal-Wallis
5,val,70,2.844169478815137,4,0.584,Kruskal-Wallis
6,val,70,6.2494744498909025,4,0.181,Kruskal-Wallis
