groups,.y.,n,statistic,df,p,method
1,val,70,0.29554865424429255,4,0.99,Kruskal-Wallis
2,val,70,44.48738231073468,4,5.08e-9,Kruskal-Wallis
3,val,70,14.4145276925077,4,0.00608,Kruskal-Wallis
4,val,70,20.688942390627712,4,3.65e-4,Kruskal-Wallis
5,val,70,8.50000249999373,4,0.0749,Kruskal-Wallis
6,val,70,46.2293963254593,4,2.21e-9,Kruskal-Wallis
