groups,.y.,n,statistic,df,p,method
1,val,70,0.6174512078067315,4,0.961,Kruskal-Wallis
2,val,70,39.0957393352133,4,6.66e-8,Kruskal-Wallis
3,val,70,15.88049241429995,4,0.00318,Kruskal-Wallis
4,val,70,19.26348964700055,4,6.98e-4,Kruskal-Wallis
5,val,70,10.726094228115448,4,0.0298,Kruskal-Wallis
6,val,70,39.985427816509734,4,4.36e-8,Kruskal-Wallis
